sample_id,label,talk_id,persona_id,profile_id,bytes,sha256,path
s_001320,E15,Pro_03666_00013,Pro_03666,Pro_03666,7763970,07ae321c46debd52ee7621a2192031c9b39d4036c21f4066e7053d1ed54ea680,data/raw/s_001320/raw_trace.json
s_001411,E37,Pro_08728_00052,Pro_08728,Pro_08728,13262678,ae95ef03f3966dac916f203258c9902b24663950febc850236d6ffdecd23aad1,data/raw/s_001411/raw_trace.json
s_001417,E28,Pro_10879_00031,Pro_10879,Pro_10879,8400429,656235362ee98df0cd1ef66c64301c3265df9ee739fed8100eeeed160ddd67f2,data/raw/s_001417/raw_trace.json
s_001424,E17,Pro_03788_00034,Pro_03788,Pro_03788,11854,ac109e52838182834268577bcb50284d1f693155ede9f44a178d683185c9f092,data/raw/s_001424/raw_trace.json
s_001444,E54,Pro_00225_00023,Pro_00225,Pro_00225,23389028,d20381549222d9b985851a8954901f8b128e1787b09f6728726bd7dfdbbfd9b0,data/raw/s_001444/raw_trace.json
s_001487,E25,Pro_11356_00036,Pro_11356,Pro_11356,15148436,344783a6644f40902b11077419c87f232d2afedf48aa5459aa964169c2b47eea,data/raw/s_001487/raw_trace.json
s_001498,E51,Pro_10902_00017,Pro_10902,Pro_10902,20695683,dc842af8b7da5da83f7884b3702cbf0fcc9b2641bdfdd1ec298250a67401007f,data/raw/s_001498/raw_trace.json
s_001502,E13,Pro_07144_00004,Pro_07144,Pro_07144,22170228,3eab75650d364ad79f99b459d95a98e43e2bf692b01272ae4201fb6bcb92a7fb,data/raw/s_001502/raw_trace.json
s_001552,E38,Pro_10589_00005,Pro_10589,Pro_10589,27803566,57fd15cf00d5996268f2181ce98e79f79dfa44b650ac8e895d8718ba8c98ad9a,data/raw/s_001552/raw_trace.json
s_001582,E23,Pro_08594_00042,Pro_08594,Pro_08594,8460009,511fe3edf228501cc937eecf4add8d152e681b8fb5c890cde686f2b4c3262828,data/raw/s_001582/raw_trace.json
s_001621,E38,Pro_08849_00022,Pro_08849,Pro_08849,3461293,933a324582fe2c69f17656a2dd0b3232378010d3e38b55b1fe0728ccb0dcece4,data/raw/s_001621/raw_trace.json
s_001674,E19,Pro_11350_00028,Pro_11350,Pro_11350,11535372,9e9c82aa9c74010e69ff2b35d9d23281b4ee1f3006de62a470d86d03770741e5,data/raw/s_001674/raw_trace.json
s_001703,E55,Pro_07186_00025,Pro_07186,Pro_07186,17392104,191f1d938dc77326e7f61011ef47275da7fcaeb599561ea4e5521898f781f97a,data/raw/s_001703/raw_trace.json
s_001756,E61,Pro_07192_00019,Pro_07192,Pro_07192,8053362,a03efd09fb72e3665dedc56c5bdd02dde372a622eb07988e73727efda372a169,data/raw/s_001756/raw_trace.json
s_001815,E23,Pro_03554_00006,Pro_03554,Pro_03554,12896484,581f0161ea18303821bf8bf071c0d19c031965b208e3d600aab10d0b60c4298f,data/raw/s_001815/raw_trace.json
s_001822,E61,Pro_03592_00004,Pro_03592,Pro_03592,12793863,e0aa25e7714b465d9c04487f82afb67d42dfa967e56339006b48d0da13524e7b,data/raw/s_001822/raw_trace.json
s_001952,E26,Pro_07037_00028,Pro_07037,Pro_07037,21466001,0e6ace0201f45ebe7aeb159b3188f82c343f94c868663e54deab07900eea93a6,data/raw/s_001952/raw_trace.json
s_001978,E61,Pro_03832_00016,Pro_03832,Pro_03832,8374121,2a9c05141737cd2101b29bf9ad7f0db7d05ef9c080e945fc0f75bcd3d7c1895b,data/raw/s_001978/raw_trace.json
s_001987,E69,Pro_05400_00002,Pro_05400,Pro_05400,22463793,12d4eb67defe40ca1ee0429cbc8f0ca2eef85eadb1ca49a782addda1515f215f,data/raw/s_001987/raw_trace.json
s_001988,E62,Pro_12413_00012,Pro_12413,Pro_12413,14171198,4cb234118d96465c28882f1d12b15dee3759f028c3fa3c0f98e68bdb00f9583a,data/raw/s_001988/raw_trace.json
s_001992,E12,Pro_08823_00016,Pro_08823,Pro_08823,13137432,a634861dc9d2f8954e6bd96f3c52931383a66ce823a13ae111327fdcb09e0340,data/raw/s_001992/raw_trace.json
s_002131,E43,Pro_00334_00012,Pro_00334,Pro_00334,22573854,0b2dac11e7b3bbb6aa1c8b23987a0fd8fa1162e72059fd71fd2ce0fed5124d29,data/raw/s_002131/raw_trace.json
s_002212,E26,Pro_03557_00055,Pro_03557,Pro_03557,22742317,03ca0ba0bf797bf5ecab9b14f46ae126aae35d1524dfda3a242fc7b038dc42c0,data/raw/s_002212/raw_trace.json
s_002230,E50,Pro_01781_00057,Pro_01781,Pro_01781,17423039,1bf911cdacf3459411a1906ee543ed616a31ca7c8bef94c788af33a26f79cc78,data/raw/s_002230/raw_trace.json
s_002292,E38,Pro_05369_00033,Pro_05369,Pro_05369,20174805,643822fcdbfa35098d4c29a41a6b8d23add0f3b195d4715f0d723536a7836ec3,data/raw/s_002292/raw_trace.json
s_002295,E42,Pro_01653_00021,Pro_01653,Pro_01653,8938577,0f2db9ba948b8b278954e67c16f2a5dd56e198e408662c05a9a542d027c5db64,data/raw/s_002295/raw_trace.json
s_002299,E27,Pro_07158_00020,Pro_07158,Pro_07158,11585267,d4a8817565afdb57fa5142e5ec7c580c2ec3c05e009802b57a760aff74ceb8e3,data/raw/s_002299/raw_trace.json
s_002329,E18,Pro_05349_00074,Pro_05349,Pro_05349,17754568,1e9e2591fc3acee3040afa866bdd8f1ff6e90c1ccf6dcf6980b563f77489fa9f,data/raw/s_002329/raw_trace.json
s_002359,E44,Pro_12215_00011,Pro_12215,Pro_12215,31205606,8b50f09fdf746a0a7a87fa63fb064bfef3a3a3d44b4003f9964054d41f2d4dee,data/raw/s_002359/raw_trace.json
s_002383,E27,Pro_03558_00052,Pro_03558,Pro_03558,11913433,c07d449c10d68d7003b5ccbd2641ba444e476a68f9e08e18cd6d79bd39441929,data/raw/s_002383/raw_trace.json
s_002456,E15,Pro_03546_00012,Pro_03546,Pro_03546,21403737,350a7d8ca79eaba3c764b57518133ecacf5560a3c766b3bb5d4ecdb58fcb1f4d,data/raw/s_002456/raw_trace.json
s_002464,E45,Pro_05256_00032,Pro_05256,Pro_05256,10756771,64073227127cf947d9c46aeed77c6c2d4d4e94370367c8f75afa9882f554d56a,data/raw/s_002464/raw_trace.json
s_002515,E40,Pro_01891_00017,Pro_01891,Pro_01891,21025369,7eb31a12cfd4fc78ff4269d1575df04ebff284fb2f07742919f5277f6d2a801e,data/raw/s_002515/raw_trace.json
s_002540,E29,Pro_08840_00016,Pro_08840,Pro_08840,19811456,249d158ece7e9815ce0d9ddf8c4e1aa47d2db39e29d49e296dba65218cf08ff7,data/raw/s_002540/raw_trace.json
s_002578,E22,Pro_01753_00005,Pro_01753,Pro_01753,5140950,409523e40579af3a566806c802a40e600136929a0566d8a4495abfef6eccd6cf,data/raw/s_002578/raw_trace.json
s_002647,E25,Pro_12136_00004,Pro_12136,Pro_12136,2493694,21b25d17e0f558db29a3e2bf68253675dcf5f1da93945e9adfa3ff1bc508c44f,data/raw/s_002647/raw_trace.json
s_002858,E10,Pro_09781_00007,Pro_09781,Pro_09781,15092586,6f4c96cca02108125cf82c08c28adf1ca2d29fa6b0c12fb2917b373c57e05c5b,data/raw/s_002858/raw_trace.json
s_002862,E10,Pro_05221_00052,Pro_05221,Pro_05221,8649735,f6d62110cf546c38bbf98bc933475f9d5d093244d9d3cfc83f100fcae11a6bce,data/raw/s_002862/raw_trace.json
s_002989,E20,Pro_05111_00056,Pro_05111,Pro_05111,17925461,b10ed0aadd40593b593706cfea3db781efa81b5301974a86a1323afaf364293c,data/raw/s_002989/raw_trace.json
s_003022,E55,Pro_11326_00013,Pro_11326,Pro_11326,22436831,c7e8f3c55bb4b1c6115dd9849e65a6e94cd47220b915563e65aefb4d40efd32d,data/raw/s_003022/raw_trace.json
s_003047,E38,Pro_10889_00005,Pro_10889,Pro_10889,12425456,f51db62a49afc210d0ee5ca3f1b98a7e462dccf3654dadcfa0a96b5434f3115e,data/raw/s_003047/raw_trace.json
s_003078,E51,Pro_01782_00016,Pro_01782,Pro_01782,7581729,6937884a5d8ca9761e91bc9c833a25b9653571db33c499fccee6ab2d6ae0a3bd,data/raw/s_003078/raw_trace.json
s_003143,E27,Pro_03798_00057,Pro_03798,Pro_03798,13987657,a4b1949fd159247c7bc6874d5e98ab670f3594cd50ee1f60cc305f73c76bae9c,data/raw/s_003143/raw_trace.json
s_003148,E15,Pro_08946_00007,Pro_08946,Pro_08946,9604616,2d6ab556d240dc464fd637958737bf9bc68e912c09878ece94194d7ffa3d2681,data/raw/s_003148/raw_trace.json
s_003224,E33,Pro_07284_00015,Pro_07284,Pro_07284,12629079,7c0ca431de1c2f676141472dc0525ee0ad466b53429c7beffbf7a60c6437cf41,data/raw/s_003224/raw_trace.json
s_003238,E33,Pro_07164_00008,Pro_07164,Pro_07164,19003458,cefaf7e8caf4578d097a50bd6e4e71dc72f07f4d8119c1699e2cd6b712252831,data/raw/s_003238/raw_trace.json
s_003240,E48,Pro_08619_00004,Pro_08619,Pro_08619,19783582,6e50161026507b2453e0fde189bafe1963623659ec958366a8a3039d8c80ad46,data/raw/s_003240/raw_trace.json
s_003248,E21,Pro_10572_00025,Pro_10572,Pro_10572,6760866,c72901dc6525036ea807bfa5d6a6281fcc29e53aa7a09dced552fa135ecc22fd,data/raw/s_003248/raw_trace.json
s_003249,E45,Pro_12396_00029,Pro_12396,Pro_12396,21708057,70ccf9ee0803c1d9a514d00e7deca8223192548811f86d2d8ca5fb4271e1549f,data/raw/s_003249/raw_trace.json
s_003301,E60,Pro_03831_00004,Pro_03831,Pro_03831,6810147,c84738996f9164c394813e1d6263bba67d7e0d356702dbba4d591ab07acc1fac,data/raw/s_003301/raw_trace.json
s_003318,E32,Pro_09743_00026,Pro_09743,Pro_09743,24796089,f9b8d7ef212b9c06d2714c95fde4b5dcb1082504cb1c9bf5384d4bf4f9b7d919,data/raw/s_003318/raw_trace.json
s_003321,E59,Pro_01670_00007,Pro_01670,Pro_01670,22986690,6b3fd70034e01cbaa45d91b4e073ef0301a48d7d9221183697adf88a15e27015,data/raw/s_003321/raw_trace.json
s_003331,E53,Pro_10664_00036,Pro_10664,Pro_10664,7603272,86c0b758dc4c693aa6495df9a6716bf88627cae574f9046f3d0436ab486d8316,data/raw/s_003331/raw_trace.json
s_003379,E60,Pro_01791_00014,Pro_01791,Pro_01791,12021935,2dae64fb69206df5c6526db2db1c93d1a1e99ee040100e4a9a98e47120dc7328,data/raw/s_003379/raw_trace.json
s_003409,E32,Pro_11303_00007,Pro_11303,Pro_11303,10418297,5541aac9c329d81ee6e099926ffb8f31b19f82a7d87bfbbc15ac6f6590dbdceb,data/raw/s_003409/raw_trace.json
s_003414,E60,Pro_05271_00037,Pro_05271,Pro_05271,3086063,03b207640cc470699367ba80fd29836fe0055abb5345626e18cedd90db192e30,data/raw/s_003414/raw_trace.json
s_003482,E22,Pro_08953_00012,Pro_08953,Pro_08953,13988297,ee77114dc54ccf75ed5fdd59638b97c280ff011ea622f7004d762eb60b834f9b,data/raw/s_003482/raw_trace.json
s_003491,E48,Pro_08979_00011,Pro_08979,Pro_08979,6961486,9f9b55ba80da236c9b04e3387f3481a1276b72199bffa01a86d384358279e659,data/raw/s_003491/raw_trace.json
s_003539,E27,Pro_08718_00005,Pro_08718,Pro_08718,20685536,f61dab91d593041fda45e16d116630a2a65bf6cf5774956d1a3620fd45550de8,data/raw/s_003539/raw_trace.json
s_003549,E26,Pro_05357_00024,Pro_05357,Pro_05357,20579503,a3998db35999a37f17adb8c8cbb387ff5cbfb0543aa42e1180def74e0e89293b,data/raw/s_003549/raw_trace.json
s_003551,E68,Pro_07439_00017,Pro_07439,Pro_07439,11274911,b7f7bf10b21c08ce67e5796ec4037413859ba9bcbd8c00472d2335ed22eaa8f8,data/raw/s_003551/raw_trace.json
s_003590,E68,Pro_08639_00016,Pro_08639,Pro_08639,7932588,1327c6011757f356d13345296339c14477c7322410a2387b7a7d4149cc3133ef,data/raw/s_003590/raw_trace.json
s_003596,E64,Pro_00235_00017,Pro_00235,Pro_00235,26586948,9318cf6f43ded74387d1710ef688037d203ae3d0e1a3b713cd355ce045f91bd5,data/raw/s_003596/raw_trace.json
s_003656,E31,Pro_07042_00006,Pro_07042,Pro_07042,1265143,c4ff0e83abc3ec5dc99affac89dab88c005463d9ef0ffded93e4e94abdccda6a,data/raw/s_003656/raw_trace.json
s_003749,E29,Pro_08600_00021,Pro_08600,Pro_08600,6767765,0410e7e4960263243f7eb1c64389bda685823bdc68a981629ad91a57d9bf3ab7,data/raw/s_003749/raw_trace.json
s_003782,E56,Pro_10667_00017,Pro_10667,Pro_10667,31911230,ca8e145ccb5a1f883eaaeafb752172908757a9efd727ea4a5ed2a3216603f41b,data/raw/s_003782/raw_trace.json
s_003836,E36,Pro_08607_00038,Pro_08607,Pro_08607,14263013,f928b5a0b4d4057d26cb8fc253be6e8d6148f9874e50a82d1f812fe02de1fee7,data/raw/s_003836/raw_trace.json
s_003858,E50,Pro_11381_00014,Pro_11381,Pro_11381,12343591,6e62f689acb97238133756d3526c94aa8028a85acada2aca97a6564dbd0678f8,data/raw/s_003858/raw_trace.json
s_003865,E27,Pro_03798_00013,Pro_03798,Pro_03798,7726494,34e1ba6a7927b029ffb2f033d26d127e517dc7db9d0f4886bfddb6206322323d,data/raw/s_003865/raw_trace.json
s_003887,E29,Pro_01760_00008,Pro_01760,Pro_01760,19342153,5c313330e30272e65fcd86a49833742ac2d7ae1780cfbdc93465834ea2cb11ae,data/raw/s_003887/raw_trace.json
s_003918,E63,Pro_07074_00025,Pro_07074,Pro_07074,14799092,ae63a8da641ec5549801d371bd46bd33edef45f627d7d88856316b3f148941ad,data/raw/s_003918/raw_trace.json
s_003925,E49,Pro_07180_00026,Pro_07180,Pro_07180,11134644,395bb127ffd51aa6656cc2f19754ba8ab96e95cfbbbbd7de4f7e2d82be4ba4c9,data/raw/s_003925/raw_trace.json
s_003936,E53,Pro_12224_00033,Pro_12224,Pro_12224,20619383,a062acdb8bc9f89712533d009e27062b6f23264b796347af828271bb487ba180,data/raw/s_003936/raw_trace.json
s_003952,E37,Pro_05128_00021,Pro_05128,Pro_05128,14328047,a7484a8e90e9be5768fc5c48710576a46bcfc4ff1a2763435cf9166df44d300d,data/raw/s_003952/raw_trace.json
